رقم النسخة;العنوان;المؤلف;الناشر;السنة;مكان النشر;الطبعة;الشفرة
1;دراسات في المسؤولية المدنية في القانون المدني الجزائري : المسؤولية عن فعل الغير -المسؤولية عن فعل الأشياء التعويض;سليمان ،علي علي;ديوان المطبوعات الجامعية;1989;الجزائر;ط.2;01/347
27;النظرية العامة للالتزام في القانون المدني الجزائري ج1;بلحاج , العربي;ديوان المطبوعات الجامعية;1999;الجزائر;;347/02ج1
41;النظرية العامة للالتزام في القانون المدني الجزء الثاني;بلحاج , العربي;ديوان المطبوعات الجامعية;1999;الجزائر;;347/02ج2
56;قانون الإجراءات المدنية;وزارة العدل;الديوان الوطني للاشغال التربوية;;الجزائر;;347/09
57;"شرح القانون المدني : : مصادر الحقوق الشخصية ""الالتزامات ""-دراسة مقارنة";السرحان,عدنان إبراهيم;دار الثقافة;2012;عمان;;347/18
60;البطلان في القانون المدني و القوانين الخاصة;عبد الحكيم فودة;دار الفكر و القانون;1999;الاسكندرية;ط.2;347/03
62;النظرية العامة للالتزام : مصادر الالتزام في القانون المدني الجزائري;سليمان،علي علي;ديوان المطبوعات الجامعية;1998;الجزائر;ط.7;347/04
70;مساهمة في نظرية الاختصاص : المسائل الفرعية امام المحاكم الجزائية;زروال،عبد الحميد;ديوان المطبوعات الجامعية;1994;الجزائر;;347/39
71;الضوابط الشرعية و القانونية لاختلاف المؤجر و المستاجر;حسن داود,محمد عبد المقصود;دار الجامعة الجديدة;;الاسكندرية;;347/06
74;شرح مقدمة القانون المدني : النظرية العامة للحق;أبو السعود,رمضان;دار المطبوعات الجامعية;2006;الإسكندرية;;347/05
90;القانون المدني;داودي سلامي;ديوان المطبوعات الجامعية;1991;الجزائر;;347/847
96;نظرية الحق : ماهية الحق،أنواع الحقوق ، الأشياء محل الحق، ميلاد الحق وحمايتة وإثباتة، الشخصية القانونية;منصور،محمدحسين;دار الجامعة الجديدة;2009;الاسكندرية;;347/10
103;الوسيط في الطعن بالاستئناف;عمر ، نبيل إسماعيل;دار الجامعة الجديدة;2000;الاسكندرية;;347/12
105;شرح القانون المدني الجزائري : التامينات العينية و الشخصية:عقد الكفالةج1;السعدي ،محمد صبري;دار الهدى;;الجزائر;;347/08ج1
108;احكام الالتزام : : الموجز في النظرية العامة للالتزام:دراسة مقارنة في القانونين المصري واللبناني;سلطان،أنور;دار النهضة العربية;1984;بيروت;;347/13
